"","state","year","barrels","type"
"219","LA",2010,1775.2,"On Premises"
"220","LA",2011,1535.77,"On Premises"
"221","LA",2012,1606.1,"On Premises"
"222","LA",2013,1723.51,"On Premises"
"223","LA",2014,1579.1,"On Premises"
"224","LA",2015,6238.54,"On Premises"
"225","LA",2016,9478.39,"On Premises"
"226","LA",2017,16448.69,"On Premises"
"227","LA",2018,24619.93,"On Premises"
"228","LA",2019,55422.57,"On Premises"
"229","MA",2008,10612.91,"On Premises"
"230","MA",2009,11547.2,"On Premises"
"231","MA",2010,12231.98,"On Premises"
"232","MA",2011,10142.24,"On Premises"
"233","MA",2012,10298.65,"On Premises"
"234","MA",2013,12570.98,"On Premises"
"235","MA",2014,10352.16,"On Premises"
"236","MA",2015,18915.57,"On Premises"
"237","MA",2016,78787.14,"On Premises"
"238","MA",2017,85176.38,"On Premises"
"239","MA",2018,57305.4,"On Premises"
"240","MA",2019,81860.44,"On Premises"
"241","MD",2008,6787.24,"On Premises"
"242","MD",2009,7577.58,"On Premises"
"243","MD",2010,7525.49,"On Premises"
"244","MD",2011,7559.49,"On Premises"
"245","MD",2012,6958.28,"On Premises"
"246","MD",2013,7771.25,"On Premises"
"247","MD",2014,7534.65,"On Premises"
"248","MD",2015,17339.14,"On Premises"
"249","MD",2016,23190.15,"On Premises"
"250","MD",2017,28127.45,"On Premises"
"251","MD",2018,30431.62,"On Premises"
"252","MD",2019,33126.14,"On Premises"
"253","ME",2008,5094.65,"On Premises"
"254","ME",2009,5528.07,"On Premises"
"255","ME",2010,6978.09,"On Premises"
"256","ME",2011,6717.44,"On Premises"
"257","ME",2012,7404.9,"On Premises"
"258","ME",2013,7960.51,"On Premises"
"259","ME",2014,7501.97,"On Premises"
"260","ME",2015,14981.92,"On Premises"
"261","ME",2016,27827.95,"On Premises"
"262","ME",2017,36717.92,"On Premises"
"263","ME",2018,49649.08,"On Premises"
"264","ME",2019,46942.61,"On Premises"
"265","MI",2008,21484.83,"On Premises"
"266","MI",2009,22590.99,"On Premises"
"267","MI",2010,23176.79,"On Premises"
"268","MI",2011,23766.64,"On Premises"
"269","MI",2012,25243.93,"On Premises"
"270","MI",2013,28431.97,"On Premises"
"271","MI",2014,31218.34,"On Premises"
"272","MI",2015,55195.44,"On Premises"
"273","MI",2016,100487.69,"On Premises"
"274","MI",2017,126317.83,"On Premises"
"275","MI",2018,126231.72,"On Premises"
