"year","brewer_size","n_of_brewers","total_barrels","taxable_removals","total_shipped"
2018,"1 to 1,000 Barrels",4241,1238268.9,1169873.68,2299
2018,"Under 1 Barrel",164,7.47,142501.39,274
2018,"Total",5964,182790960.32,175041925.03,6908958
2019,"6,000,001 Barrels and Over",15,125788474.04,116321254.52,4208092
2019,"2,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136
2019,"1,000,001 to 1,999,999 Barrels",5,6058176.3,6223929.3,2059
2019,"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599
2019,"100,001 to 500,000 Barrels",42,8373874.82,7139034.688,80432
2019,"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048
2019,"30,001 to 60,000 Barrels",64,2675606.37,2906735.837,39494
2019,"15,001 to 30,000 Barrels",102,2166277.84,1891960.763,23889
2019,"7,501 to 15,000 Barrels",159,1680544.748,1484609.204,3115
2019,"1,001 to 7,500 Barrels",1183,3151130.255,2901015.17,7509
2019,"1 to 1,000 Barrels",4577,1321901.272,1293960.317,2296
2019,"Under 1 Barrel",28,18.3,19432.26,NA
2019,"Under 1 Barrel",174,NA,114960.27,185
2019,"Total",6400,179720164.305,167077232.589,5066858
